"Classification","Year","Period","Period Desc.","Aggregate Level","Is Leaf Code","Trade Flow Code","Trade Flow","Reporter Code","Reporter","Reporter ISO","Partner Code","Partner","Partner ISO","2nd Partner Code","2nd Partner","2nd Partner ISO","Customs Proc. Code","Customs","Mode of Transport Code","Mode of Transport","Commodity Code","Commodity","Qty Unit Code","Qty Unit","Qty","Alt Qty Unit Code","Alt Qty Unit","Alt Qty","Netweight (kg)","Gross weight (kg)","Trade Value (US$)","CIF Trade Value (US$)","FOB Trade Value (US$)","Flag"
"H2",2002,2002,2002,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,100800,,100800,,9443,,,0
"H2",2002,2002,2002,4,0,2,"Export",450,"Madagascar","MDG",690,"Seychelles","SYC",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,4260000,,4260000,,400636,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,925194,,925194,,140106,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,462706,,462706,,92872,,,0
"H2",2003,2003,2003,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,462488,,462488,,47234,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,593161,,593161,,133135,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,310160,,310160,,99744,,,0
"H2",2004,2004,2004,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,283001,,283001,,33391,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,6730,,6730,,2183,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,5730,,5730,,2092,,,0
"H2",2005,2005,2005,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1000,,1000,,91,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,425720,,425720,,88293,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,422880,,422880,,87863,,,0
"H2",2006,2006,2006,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,2840,,2840,,430,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1614785,,1614785,,470587,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,26000,,26000,,7063,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1002300,,1002300,,286657,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,562985,,562985,,170734,,,0
"H3",2007,2007,2007,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,23500,,23500,,6133,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,3211870,,3211870,,989030,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,17100,,17100,,2815,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1207000,,1207000,,378516,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1987770,,1987770,,607699,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,59400,,59400,,9230,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,551700,,551700,,164279,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,214002,,214002,,43702,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1058350,,1058350,,272720,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,513613,,513613,,110792,,,0
"H3",2011,2011,2011,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1427250,,1427250,,431481,,,0
"H3",2011,2011,2011,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,1236690,,1236690,,339853,,,0
"H3",2011,2011,2011,4,0,2,"Export",450,"Madagascar","MDG",784,"United Arab Emirates","ARE",,,,,,,,1005,"Maize (corn).",8,"Weight in kilograms",,,37200,,37200,,8165,,,0
"H4",2012,2012,2012,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,1415622,,1415622,,454320,,,0
"H4",2012,2012,2012,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,1487945,,1487945,,173566,,,0
"H4",2012,2012,2012,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,136000,,136000,,61458,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,26325,,26325,,6093,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,1620989,,1620989,,214744,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,113800,,113800,,40289,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",757,"Switzerland","CHE",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,10,,10,,9,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,26325,,26325,,6093,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,1620989,,1620989,,214744,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,113800,,113800,,40289,,,0
"H4",2013,2013,2013,4,0,2,"Export",450,"Madagascar","MDG",757,"Switzerland","CHE",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,10,,10,,9,,,0
"H4",2014,2014,2014,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,4000,,4000,,550,,,0
"H4",2014,2014,2014,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,2862266,,2862266,,385313,,,0
"H4",2014,2014,2014,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,19100,,19100,,3806,,,0
"H4",2015,2015,2015,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,205500,,205500,,18097,,,0
"H4",2015,2015,2015,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,4027554,,4027554,,410463,,,0
"H4",2015,2015,2015,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,17450,,17450,,4701,,,0
"H4",2015,2015,2015,4,0,2,"Export",450,"Madagascar","MDG",690,"Seychelles","SYC",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,207900,,207900,,47786,,,0
"H4",2016,2016,2016,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,2683312,,2683312,,257253,,,0
"H4",2016,2016,2016,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,18500,,18500,,6230,,,0
"H4",2016,2016,2016,4,0,2,"Export",450,"Madagascar","MDG",690,"Seychelles","SYC",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,46000,,46000,,10809,,,0
"H5",2017,2017,2017,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,637684,,637684,,80726,,,0
"H5",2017,2017,2017,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1005,"Maize (corn)",8,"Weight in kilograms",,,13900,,13900,,7080,,,0
